"Date","Depth_m","Temp_C","DO_mgL","Cond_uScm","Chla_ugL","Turb_NTU","pH","ORP_mV","SpCond_calc"
"2013-10-03 12:00:00",0.1,20.2324,7.48481,26.351553,1.0791,0.2735,NA,NA,28.9915578918379
"2013-10-03 12:00:00",1,20.1505,7.46907,26.261923,1.2775,0.1728,NA,NA,28.9427590844376
"2013-10-03 12:00:00",2,19.9895,7.22313,26.270727,1.6465,0.2735,NA,NA,29.0509156010213
"2013-10-03 12:00:00",3,19.5174,6.73227,25.981655,1.337,0.4917,NA,NA,29.0206271688549
"2013-10-03 12:00:00",4,19.035,5.24115,26.033544,1.0196,0.5085,NA,NA,29.3809609527931
"2013-10-03 12:00:00",5,17.6732,1.26496,27.301945,0.7142,0.8778,NA,NA,31.7443023501714
"2013-10-03 12:00:00",6,12.2841,0.2404,27.714591,10.0295,1.6163,NA,NA,36.6049767838605
"2013-10-03 12:00:00",7,10.4153,0.17174,28.46146,6.2129,1.3142,NA,NA,39.4513286438561
"2013-10-03 12:00:00",8,9.1169,0.15231,44.110436,4.7013,1.8513,NA,NA,63.3194943350284
"2013-10-03 12:00:00",9,8.1933,0.13283,54.594873,3.3167,2.4052,NA,NA,80.4057641147864
"2013-10-03 12:00:00",10,7.6962,0.11938,87.747909,1.9797,1.0456,NA,NA,131.065343015063
"2013-10-03 12:00:00",11,7.4425,0.11497,102.811918,1.214,0.9785,NA,NA,154.685394268502
"2013-10-03 12:00:00",12,7.3162,0.11147,113.717796,1.1268,1.0456,NA,NA,171.717044569772
"2013-10-16 12:00:00",0.1,17.5697,8.62747,35.349345,5.1377,1.5492,NA,NA,41.1958007194353
"2013-10-16 12:00:00",1,17.5806,8.61161,35.341119,5.7408,1.8681,NA,NA,41.1762239279974
"2013-10-16 12:00:00",2,17.5395,8.36052,35.290282,6.2407,1.9017,NA,NA,41.1546342412567
"2013-10-16 12:00:00",3,17.3191,7.53549,35.138776,6.923,2.1534,NA,NA,41.1801121818613
"2013-10-16 12:00:00",4,16.7653,5.90485,34.502898,5.3798,3.1605,NA,NA,40.942438070241
"2013-10-16 12:00:00",5,14.0855,9.33455,40.80353,13.9572,6.249,NA,NA,51.5500016076398
"2013-10-16 12:00:00",6,13.2894,7.7492,43.174854,3.9555,5.7286,NA,NA,55.6142243775095
"2013-10-16 12:00:00",7,13.2187,7.73753,43.321236,3.1303,7.0882,NA,NA,55.9000157385281
"2013-10-16 12:00:00",8,13.2,7.71148,43.34007,3.2652,7.105,NA,NA,55.9501045674008
"2013-10-16 12:00:00",9,13.1806,7.64418,43.416762,3.1342,7.1386,NA,NA,56.0759344927409
"2013-10-16 12:00:00",10,13.1751,7.64884,43.458149,3.289,7.3064,NA,NA,56.1370054974627
"2013-10-16 12:00:00",11,13.1751,7.64884,43.458149,3.289,7.3064,NA,NA,56.1370054974627
"2013-10-16 12:00:00",12,13.1751,7.64884,43.458149,3.289,7.3064,NA,NA,56.1370054974627
"2014-05-14 11:59:05",0.1,21.5335,9.44031,24.944245,3.8563,0.8274,NA,NA,26.712910833203
"2014-05-14 11:59:05",1,20.7267,9.68855,24.610803,2.075,0.5589,NA,NA,26.7980615909992
"2014-05-14 11:59:05",2,19.9773,9.72286,24.014085,1.4362,0.156,NA,NA,26.5623014007942
